book_name	author_name
publiés par thomas moore	baron george gordon byron byron
"oeuvres complètes de lord byron. tome , comprenant ses mémoires"	anonymous
publiés par thomas moore	baron george gordon byron byron
"the honest american voter's little catechism for ,"	anonymous
"adolphe et de l'esprit de conquête et de l'usurpation,"	anonymous
"friends in feathers and fur, and other neighbors"	james johonnot
"original short stories, complete, volumes 1-13"	guy de maupassant
"the christian foundation, or, scientific and religious"	anonymous
"religious journal, volume 1, no. 3, march 1880"	various
the buccaneer	mrs. s. c. hall
"a yacht voyage to norway, denmark, and sweden"	w. a. ross
"a history of art in chaldæa & assyria, v. ,"	anonymous
the red triangle	arthur morrison
a man of two countries	alice harriman
alice in blunderland	john kendrick bangs
het ivoren aapje	herman teirlinck
the spirit of american government	j. allen smith
"the christian foundation, or, scientific and religious"	anonymous
"journal, volume 1, no. 2, february, 1880"	various
the pecan and its culture	h. harold hume
the next logical step	benjamin william bova
the man who saw the future	edmond hamilton
lucian - the complete works volume 4	lucian
the fight for the argonne	william benjamin west
a lost hero	elizabeth stuart phelps ward and herbert d. ward
a text-book of precious stones for jewelers and	anonymous
the gem-loving public	frank bertram wade
highways and byways in surrey	eric parker
music and some highly musical people	james m. trotter
memorias sobre a influencia dos descobrimentos portuguezes	anonymous
no conhecimento das plantas	conde de ficalho
the brothers karamazov	fyodor dostoyevsky
"celebration in baltimore of the triumph of liberty in france,"	anonymous
john brown: a retrospect	alfred roe
caesar rodney's ride	henry fisk carlton
women as sex vendors	r. b. tobias and mary e. marcy
balady i romanse	adam mickiewicz
shepherd of the planets	alan mattox
strange alliance	bryce walton
"critical and historical essays, volume iii (of 3)"	macaulay
walls of acid	henry hasse
kopciuszek	jacob grimm and wilhelm grimm
ships in harbour	david morton
die leute von seldwyla -- band 2	gottfried keller
"selections from the poems and plays of robert browning,"	anonymous
robin tremayne	emily sarah holt
"history of woman suffrage, volume ii (of ),"	anonymous
watch and wait	oliver optic
in doublet and hose	lucy foster madison
public school education	michael müller
elävänä haudattu by oskar höcker	anonymous
scenes in the hawaiian islands and california	mary evarts anderson
the wild huntress	mayne reid
sprays of shamrock	clinton scollard
resurrection	robert joseph shea
reluctant genius	henry slesar
het nieuwe leven	dante alighieri
scottish football reminiscences and sketches	david drummond bone
dwellers in arcady	albert bigelow paine
great pianists on piano playing	james francis cooke
the story of john g. paton	james paton
pictorial photography in america 1922	various
pictorial photography in america 1921	various
el diablo	brayton norton
pictures and stories from uncle tom's cabin	unknown
"history of woman suffrage, volume i (of 3)"	gage
birds in the bush	bradford torrey
"the complete works, vol. 3"	lucian
otherwise phyllis	meredith nicholson
in the tail of the peacock	isabel savory
"pictorial photography in america, 1920"	various
jeden miesiàc ýycia	ludwik bruner
old new england traits	anonymous
"the american quarterly review, no. 17, march 1831"	various
"tomato culture: a practical treatise on the tomato,"	anonymous
"bacon's rebellion, 1676"	thomas jefferson wertenbaker
szopka	artur oppman
under the southern cross	elizabeth robins
little folks (december 1884)	various
the perpetual curate	mrs [margaret] oliphant
van de ganges naar den amazonenstroom	ernst weber
a little tour of france	henry james
"supplement to punch, or the london charivari,"	anonymous
"september 16, 1914"	various
electra	benito pérez galdós
inaugural presidential address	barack obama
inaugural presidential address	barack obama
dante: his times and his work	arthur john butler
the new tenant	e. phillips oppenheim
robert orange	john oliver hobbes
the free lances	mayne reid
the history of london	walter besant
gekken	jac. van looy
bruin	mayne reid
"os descobrimentos dos portuguezes nos seculos xv e xvi,"	anonymous
the blue bird for children	georgette leblanc
theo	mrs. frances hodgson burnett
"taavetti livingstone, hänen elämänsä ja toimensa by f. h. b. lagus"	anonymous
museum of antiquity	l. w. yaggy and t. l. haines
glory and the other girl	annie hamilton donnell
judith lynn	annie hamilton donnell
marjorie dean	pauline lester
ralph gurney's oil speculation	james otis
the orphans of glen elder	margaret murray robertson
the ocean waifs	mayne reid
the plant hunters	mayne reid
wood rangers	mayne reid
la freccia nel fianco	luciano zùccoli
"commentary on genesis, vol. ii"	martin luther
a dictionary of austral english	edward morris
"mémoires du maréchal marmont, duc de raguse, (/),"	anonymous
delineations of the ox tribe	george vasey
vlci proti mustangum	f. omelka
der mantel	nicolaj gogol
"van batavia naar atjeh, dwars door sumatra"	f. bernard
a lover's litanies	eric mackay
histoire de l'afrique septentrionale (berbérie) depuis les	anonymous
(volume i)	ernest mercier
the county regiment	dudley landon vaill
tulan	carroll mather capps
"punch, or the london charivari, vol. , september , ,"	anonymous
the dop doctor	clotilde inez mary graves
the chestermarcke instinct	j. s. fletcher
"portugal e brazil: emigração e colonisação,"	anonymous
history of education	levi seeley
one snowy night	emily sarah holt
"op martinique en sint-vincent, de veelgeteisterde eilanden,"	anonymous
hore dedinú	františek omelka
ins neue land	gabriele reuter
in convent walls	emily sarah holt
plain facts	g. a. bauman
roma sacra	reinhold schoener
"mandalay, de jongste hoofdstad van birma"	anonymous
handbook of the new york public library	new york public library
the new nation	frederic l. paxson
the enchanted castle	hartwell james
policeman bluejay	l. frank baum
the rhodesian	gertrude page
daisy	susan warner
progress and history	francis sydney marvin
"the home medical library, volume v (of vi)"	kenelm winslow
alcestis	euripides
het leven der dieren	alfred edmund brehm
"the home medical library, volume ii (of vi)"	kenelm winslow
"the home medical library, volume i (of vi)"	kenelm winslow
"a system of logic, ratiocinative and inductive"	john stuart mill
supplemento ao n.º das insomnias de camillo castello	anonymous
branco	anselmo de morais
musa velha	francisco palha
laurus nobilis	vernon lee
"the complete works of lucian of samosata, volume"	anonymous
wiersz do króla pruskiego	wladyslaw ludwik anczyc
"histoire des nombres et de la numération mécanique,"	anonymous
under fire	frank andrew munsey
"it, and other stories"	gouverneur morris
forest neighbors	william davenport hulbert
history of the division of medical sciences	sami khalaf hamarneh
"oeuvres, tome i"	constantin-françois volney
david fleming's forgiveness	margaret murray robertson
the lady of loyalty house	justin huntly mccarthy
pobudka	adam asnyk
het leven der dieren	a. e. brehm
in eastern seas	j. j. smith
the art of disappearing	john talbot smith
mugby junction	charles dickens
betty leicester	sarah orne jewett
david and the phoenix	edward ormondroyd
the love of frank nineteen	david carpenter knight
ben comee	michael joseph canavan
abissinia	pippo vigoni
the mines and its wonders	w.h.g. kingston
the strange adventures of mr. middleton	wardon allan curtis
gabriel and the hour book	evaleen stein
fabeloj de andersen	hans christian andersen
het leven der dieren	a. e. brehm
the quadroon	mayne reid
gloucester moors and other poems	william vaughn moody
the giraffe hunters	mayne reid
under the ensign of the rising sun	harry collingwood
dick leslie's luck	harry collingwood
fix bay'nets	george manville fenn
hunting the skipper	george manville fenn
the voyage of the aurora	harry collingwood
"histoire parlementaire de france,  volume i."	f. guizot
une journee a pise	eve destantins anthony
the magic world	edith nesbit
bird-lover in the west	olive thorne miller and harriet mann miller
jewish literature and other essays	gustav karpeles
el manco de lepanto	manuel fernández y gonzález
runoelmia 2	f. f. brummer
runoelmia 1	f. f. brummer
the kopje garrison	george manville fenn
parva naturalia (little physical treatises) vol. 2	aristoteles
"parva naturalia (little physical treatises), vol. 1"	aristoteles
the pearl of lima	jules verne
"punch or the london charivari, vol. 147, september 23, 1914"	various
läpi neekerien maan-osan	rafaël hertzberg
die moderne ehe	maud ch. braby
the merriweather girls in quest of treasure	lizette m. edholm
familiar quotations	john bartlett
making people happy	thompson buchanan
wild animals at home	ernest thompson seton
india and the indians	edward f. elwin
"ainslee's, vol. 15, no. 6, july 1905"	various
niels klim's journey under the ground	baron ludvig holberg
napoleon geschetst	h. th. chappuis
kosciuszko	monica mary gardner
in château land	anne hollingsworth wharton
evening dress	w. d. howells
mémoires de mr d'artagnan (1700)	gatien de courtilz de sandras
an abridgment of the architecture of vitruvius	vitruvius
"victor, ou l'enfant de la forêt"	françois-guillaume ducray-duminil
teckningar och drömmar	fredrika charlotta tengström runeberg
foot-prints of travel	maturin m. ballou
the spirit of rome	vernon lee
"a history of the french novel, vol. 2"	george saintsbury
moja beatrice	zygmunt krasinski
the seven seas	rudyard kipling
a theodicy	albert taylor bledsoe
the glow-worm and other beetles	jean henri fabre
"scientific american magazine, vol. 2 issue 1"	various
great britain at war	jeffery farnol
george borrow in east anglia	william a. dutt
"ainslee's, vol. 15, no. 5, june 1905"	various
the legacy of ignorantism	t.h. pardo de tavera
the cauliflower	a. a. crozier
kathay: a cruise in the china seas	w. hastings macaulay
the message	alec john dawson
amo	henry van de velde
huangdi zhaijing	unknown
the dominant dollar	will lillibridge
bandit love	juanita savage
entre deux ames	m. delly
colas breugnon	romain rolland
how the flag became old glory	emma look scott
gold dust	e. l. e. b.
a christmas faggot	alfred gurney
the young alaskans in the rockies	emerson hough
th' history o' haworth railway	bill o'th' hoylus end
hymns of the greek church	john brownlie
een meisje-student over 'een meisje-studentje'	annie sillevis
de lof der zotheid	desiderius erasmus
cyclops	euripides
la chasse aux lions	alfred assollant
"les mystã¨res du peuple, tome i"	eugã¨ne sue
the economic aspect of geology	c. k. leith
kukka kultain kuusistossa	a. rahkonen
un tuteur embarrassé	roger dombre
only an irish girl	mrs. hungerford
a bachelor's dream	mrs. hungerford
adéle de sénange	marquise de adélaïde de-marie-emilie
het geldersch byenboek	petrus hendrix
wieslaw	kazimierz brodziñski
paul and the printing press	sara ware bassett
paedagogische overwegingen	e. w. asscher
"zenith television receiver operating manual,"	anonymous
les deux paradis d'abd-er-rhaman	jules tellier
conversation	mary greer conklin
introduction to the history of religions	crawford howell toy
souvenirs et anecdotes de l'ã®le d'elbe	andrã© pons de l'hã©rault
the kama sutra of vatsyayana	vatsyayana
the olive fairy book	various
isaotta guttadã uro ed altre poesie	gabriele d'annunzio
juggernaut	alice campbell
little folks (november 1884)	various
zwei prager geschichten	rainer maria rilke
a history of mediaeval jewish philosophy	isaac husik
"noites de insomnia, nº7 (de 12)"	camilo castelo branco
round games with cards	w. h. peel
"blackwood's edinburgh magazine, august 1845"	various
gycia	lewis morris
de anima - on the soul	aristotle
"the celtic magazine, vol. 1, no. 2, december 1875"	various
feuerbach: the roots of the socialist philosophy	frederick engels
merry-garden and other stories	sir arthur thomas quiller-couch
"buchanan's journal of man, january 1888"	various
macaria	augusta jane evans wilson
"chips from a german workshop, vol. v."	f. max müller
"mémoires de frédérique sophie wilhelmine de prusse,"	anonymous
margrave de bareith. vol. ii	frédérique sophie wilhelmine
"mémoires de frédérique sophie wilhelmine de prusse,"	anonymous
margrave de bareith. vol. i	frédérique sophie wilhelmine
mémoires de marmontel (3 of 3)	jean françois marmontel
le dernier chevalier	paul h. c. féval
the wind in the willows	kenneth grahame
the boarding school	unknown
kerkhofblommen	guido gezelle
darius the great	jacob abbott
children of borneo	edwin herbert gomes
brieven uit en over amerika	gerritsen and jacobs
"holland, v. 1 (of 2)"	edmondo de amicis
the silver lining	john roussel
vital ingredient	gerald vance
"buchanan's journal of man, december 1887"	various
apologia diffidentis	w. compton leith
fantã´mas	pierre souvestre and marcel allain
child and country	will levington comfort
the arrow-maker	mary austin
i nuovi tartufi	francesco domenico guerrazzi
a practical enquiry into the philosophy of education	james gall
a royal prisoner	pierre souvestre and marcel allain
toinen lukukirja kansakoulujen tarpeiksi	various
the american empire	scott nearing
the rough road	william john locke
a book about lawyers	john cordy jeaffreson
tales of the malayan coast	rounsevelle wildman
twee vroolijke geschiedenissen	fritz reuter
le tour de la france par deux enfants	g. bruno
revised edition of poems	william wright
treasure island	robert louis stevenson
solomon crow's christmas pockets & other tales	ruth mcenery stuart
"outlines of dairy bacteriology, 8th edition"	h. l. russell
lafayette	martha foote crow
the methodist	evan lloyd
des feldpredigers schmelzle reise	jean paul
fils d'émigré	ernest daudet
mémoires de marmontel (volume 2 of 3)	jean françois marmontel
le roman comique	paul scarron
once on a time	a. a. milne
the battaile of agincourt	michael drayton
der fliegende hollaender	richard wagner
xiapian qiwen	jian sou
slavery: what it was; has done	cydnor bailey tompkins
romance of roman villas	elizbeth williams champney
a yeoman's letters	p. t. ross
dramatic reader for lower grades	florence holbrook
"journal of a young man of massachusetts, nd ed.,"	anonymous
sá de miranda e a sua obra by décio carneiro	anonymous
hamlet	william shakespeare
papess joanne	emmanuel rhoides
luca signorelli	maud cruttwell
"buchanan's journal of man, november 1887"	various
"nuevo plan de fronteras de la provincia de buenos aires,"	anonymous
proyectado en 1816	pedro andres garcia
revenge	arthur porges
hidden symbolism of alchemy and the occult arts	herbert silberer
the flower basket	unknown
yizhenqi	huayangsanren
aphrodisiacs and anti-aphrodisiacs	john davenport
the hilltop boys	cyril burleigh
admiral farragut	a. t. mahan
from jungle to java	arthur keyser
popular lectures on zoonomia	thomas garnett
"personal recollections, from early life to old age, of"	anonymous
mary somerville	mary somervills
"schedule of salaries for teachers, members of the"	anonymous
supervising staff and others	the boston (mass.) school committee
the true story of the american flag	john h. fow
remarks on clarissa (1749)	sarah fielding
through finland in carts	ethel brilliana alec-tweedie
popular education	ira mayhew
colonel carter's christmas and the romance of an	anonymous
old-fashioned gentleman	f. hopkinson smith
"a letter to the right honorable the lord chancellor, on"	anonymous
and imbecility of intellect	john haslam
poetical works of matthew arnold	matthew arnold
josã©	armando palacio valdã©s
le petit chose (part 1)	alphonse daudet
la condenada	vicente blasco ibáñez
in the great steep's garden	elizabeth madox roberts
hepu zhu	yanshuisanren
through siberia and manchuria by rail	oliver george ready
city crimes	greenhorn
the new world	witter bynner
the doomsman	van tassel sutphen
bajki	adam mickiewicz
in court and kampong	hugh clifford
within the golden gate	laura young pinney
tolstoy on shakespeare	leo tolstoy
saudades: historia de menina e moca	bernardim ribeiro
"the works of theophile gautier, volume 5"	theophile gautier
moja pierwsza bitwa	adam mickiewicz
"masterpieces of mystery, vol. 1 (of 4)"	various
de heele wereld rond	j.j.a. goeverneur
la serpicina	francesco domenico guerrazzi
tiranni minimi	girolamo rovetta
parables from flowers	gertrude p. dyer
"buchanan's journal of man, october 1887"	various
a portrait of old george town	grace dunlop ecker
eucalyptos e acacias	jaime de magalhaes lima
"the american missionary - volume 54, no. 01, january, 1900"	various
the elements of bacteriological technique	john william henry eyre
sir harry hotspur of humblethwaite	anthony trollope
germinie lacerteux	edmond and jules de goncourt
lives of the engineers	samuel smiles
five o'clock tea	w. d. howells
loppiaisaatto eli miten haluatte	william shakespeare
saint athanasius	f.a. [frances alice] forbes
life of st. vincent de paul	f.a. [frances alice] forbes
the golden face	william le queux
"memoirs of the court & cabinets of george the third, vol."	anonymous
"buchanan's journal of man, september 1887, vol. 1 no. 8"	various
mr. stubbs's brother	james otis
the greatest highway in the world	anonymous
the rose-jar	thomas samuel jones
"mcclure's magazine, vol 31, no 2, june 1908"	various
"principles of political economy, vol. 1 of 2"	william roscher
the mouse and the moonbeam	eugene field
a fine fix	r. c. noll
la cuerda del ahorcado	pierre alexis ponson du terrail
oeuvres completes de rollin tome 1	charles rollin
little folks (october 1884)	various
"romulus, makers of history"	jacob abbott
silva porto e livingstone	antonio francisco ferreira da si porto
nobody's girl	hector malot
jaime de magalhaes lima	jose agostinho
a hundred years by post	j. wilson hyde
steam turbines	hubert e. collins
digong an	anonymous
az atlasz-csalad	gergely csiki
anthony lyveden	dornford yates
the world i live in	helen keller
the panchronicon	harold steele mackaye
the last of the mohicans	james fenimore cooper
uncle sam's boys in the ranks	h. irving hancock
uncle sam's boys as sergeants	h. irving hancock
nine little goslings	susan coolidge
"daisy dare, and baby power"	rosa vertner jeffrey
the 1999 cia factbook	united states central intelligence agency
the 1996 cia factbook	united states central intelligence agency
the boy volunteers with the submarine fleet	kenneth ward
oedipus king of thebes	sophocles
punicorum libri septemdecim	t. catius silius italicus
het dichtste bij de zuidpool	ernest henry shackleton
the treason and death of benedict arnold	john jay chapman
the johnstown horror	james herbert walker
frogs	aristophanes
"scientific american supplement, no. 647, may 26, 1888"	various
seek and find	oliver optic
junior achievement	william lee
zoologische philosophie	j. b. p. a. lamarck
original sonnets on various subjects; and odes paraphrased	anonymous
from horace	anna seward
"scientific american supplement, no. 488, may 9, 1885"	various
master of the vineyard	myrtle reed
a book without a title	george jean nathan
op het balkan-schiereiland	percy e. henderson
het verloren tooverland	jenny blicher-clausen
het bergland van den roewenzori	ludwig amadeus von savoyen
"de verwoeste steden aan de straat van messina,"	anonymous
de rariorum animalium atque stirpium historia	john caius
the story of the prophet jonas	anonymous
historiallinen lukukirja: vanha ja keski-aika	otto sjögren
door het land der skipetaren	karl may
the two hundredth anniversary of the settlement of the town	anonymous
"of new milford, conn. june 17th, 1907"	daniel davenport
the doers	william john hopkins
church work among the negroes in the south	robert strange
"buchanan's journal of man, august 1887, vol. 1 no. 7"	various
"the economist, vol. , no. , ed. by james wilson"	anonymous
the orchestral conductor	hector berlioz
the beginning	henry hasse
au bord du lac	emile souvestre
lucille triumphant	elizabeth m. duffield
lectures in navigation	ernest gallaudet draper
"parapilla, poeme en cinq chants"	charles borde
ricordi di londra	edmondo de amicis and louis simonin
new vegetarian dishes	mrs. bowdich
2001 cia world factbook	united states central intelligence agency
a correspondencia de fradique mendes	jose maria eca de queiros
chen lun	yu dafa
the canterbury puzzles	henry ernest dudeney
van de deensche expeditie naar noord-groenland	a. trolle
to mars via the moon	mark wicks
"transactions of the american society of civil engineers,"	anonymous
"vol. lxxii, jun 1911"	e. d. hardy
dead world	jack douglas
a princess in calico	edith ferguson black
"captain desmond, v.c."	maud diver
york	g. bosch
le sentier	max du veuzit and robert nunes
paternite	max du veuzit
mithridate	jean racine
how to marry well	mrs. hungerford
c'est la loi!	max du veuzit and george lomelar
"the story of my first novel; how a novel is written,"	anonymous
how i write my novels	mrs. hungerford
mrs. hungerford	helen c. black
le noel des petits gueux	max du veuzit
the end of a coil	susan warner
l'aumone	max du veuzit
the vanishing race	joseph dixon
christmas light	ethel calvert phillips
"notes and queries, number 219, january 7, 1854"	various
reels and spindles	evelyn raymond
christmas eve at swamp's end	norman duncan
"blackwood's edinburgh magazine, volume , number , november,"	anonymous
experiences et observations sur l'electricite faites a	anonymous
philadelphie en amerique	benjamin franklin
the undersea tube	l. taylor hansen
bollettino del club alpino italiano 1895-96	various
rosin the beau	laura elizabeth howe richards
the library of william congreve	john c. hodges
"notes and queries, number , march , , ed. by george bell"	anonymous
a history of the japanese people	frank brinkley
"the red true story book, ed. by andrew lang"	anonymous
"the true story book, ed. by andrew lang"	anonymous
hawtrey's deputy	harold bindloss
"zoonomia, vol. ii"	erasmus darwin
flores do campo	joao de deus
der gehulfe	robert walser
"the english utilitarians, volume i"	leslie stephen
sui tang jiahua	su liu
eight keys to eden	mark irvin clifton
an eagle flight	jose rizal
la majstro kaj martinelli	jorge camacho
andromache	euripides
the birthright	joseph hocking
cabiria	gabriele d'annunzio
coronation anecdotes	giles gossip
the jupiter weapon	charles louis fontenay
a victor of salamis	william stearns davis
the mentor: the war of 1812	albert bushnell hart
hilaire belloc	c. creighton mandell and edward shanks
baseball joe in the big league	lester chadwick
the importance of the proof-reader	john wilson
yushi mingyan	feng menglong
wu chuanlu	fan chengda
raleigh	edmund gosse
stephen arnold douglas	william garrott brown
two years with the natives in the western pacific	felix speiser
"the works of lord byron, vol. 7"	george gordon byron
little folks (septemeber 1884)	various
madame bovary	gustave flaubert
"le telephone, le microphone et le phonographe"	theodore du moncel
esprit des lois	"montesquieu, charles de secondat"
dickens-land	j. a. nicklin
christianity and greek philosophy	benjamin franklin cocker
"buchanan's journal of man, july , v., no., ed. by j.r. buchanan"	anonymous
gilbert keith chesterton	patrick braybrooke
sketches of our life at sarawak	harriette mcdougall
aunt jo's scrap-bag vi	louisa m. alcott
la force	paul adam
magyar elet	istvan barsony
little folks (july 1884)	various
heart's-ease	phillips brooks
"the great events by famous historians, volume 07"	various
the boy chums in the forest	wilmer m. ely
2005 cia world factbook	united states central intelligence agency
2004 cia world factbook	united states central intelligence agency
2003 cia world factbook	united states central intelligence agency
learning to fly	claude grahame-white and harry harper
across the equator	thomas h. reid
een verlaten post	johanna van woude
the twelfth hour	ada leverson
lord john russell	stuart j. reid
"representative plays by american dramatists: -,"	anonymous
hannibal	jacob abbott
the mother	norman duncan
the seven secrets	william le queux
art of promoting the growth of the cucumber & melon	thomas watkins
british borneo	w. h. treacher
kulonfele magyarok meg egyeb nepek	"istvan t""morkeny"
maldita felicidade	alexandre da costa
epistola de manoel mendes fogaca	jose agostinho de macedo
effeitos do hypnotismo	a. armando
o centenario de jose estevao	sebastiao de magalhaes lima
agulha em palheiro	camilo castelo branco
vasco da gama	various
naapurit	eivaro
"notes and queries, no. 209, october 29 1853"	various
"sentimental education, volume ii"	gustave flaubert
el marxant de venecia	william shakespeare
despedidas: 1895-1899	antonio nobre
cobwebs from a library corner	john kendrick bangs
"the struggles of brown, jones, and robinson"	anthony trollope
betrachtungen über die grundlagen der philosophie	rené descartes
a manual of moral philosophy	andrew preston peabody
the tailor and the crow	l. leslie brooke
the peace negotiations	j. d. kestell and d. e. van velden
"rules and regulations governing maternity hospitals and homes,"	anonymous
"rules and regulations of the insane asylum of california,"	anonymous
the public domain	james boyle
bones in london	edgar wallace
hampton court	walter jerrold
masterpieces of mystery in four volumes	various
virginia of elk creek valley	mary ellen chase
the watchers of the plains	ridgewell cullum
a sailor of king george	frederick hoffman
the settlement of wage disputes	herbert feis
change in the village	george sturt (a.k.a. george bourne)
"political equality series, vol. , no. ,"	anonymous
equal suffrage in australia	various
the toilers of the field	richard jefferies
"state trials, political and social, vol. 1 of 2"	various
a handful of stars	frank w. boreham
the book of the national parks	robert sterling yard
laatste verzen	guido gezelle
the free range	elwell lawrence
select masterpieces of biblical literature	various
the 2006 cia world factbook	united states
the king's warrant	alfred h. engelbach
the giant's robe	f. anstey
"political women, vol. 2 (of 2)"	sutherland menzies
winning the wilderness	margaret hill mccarter
lorimer of the northwest	harold bindloss
on the equator	harry de windt
sketch of handel and beethoven	thomas hanly ball
"mcclure's magazine, vol. xxxi, no. 3, july 1908"	various
the new theology	r. j. campbell
folk-lore and legends: german	anonymous
dor e luz	acurcio correia da silva
napoleao no kremlin	jose da silva mendes leal
"continental monthly, vol. 4, no 3, september 1863"	various
the girl's of st. olave's	mabel mackintosh
the patriotic poems of walt whitman	walt whitman
"punch, vol. , may , , ed. by sir francis burnand"	anonymous
upstarts	l. j. stecher
unthinkable	roger phillips graham
de vroolijke tocht	cyriel buysse
de nachtegaal	c. schmid
lectures on the french revolution	john emerich edward dalberg-acton
jan en florence	louis marie anne couperus
de vurige oven	j. a. wormser
the critics versus shakspere	francis a. smith
journal of a visit to constantinople and some of the greek	anonymous
islands in the spring and summer of 1833	john auldjo
die abenteuer gawains ywains und le morholts mit	anonymous
den drei jungfrauen	unknown
"domestic life in virginia in the seventeenth century,"	anonymous
a wayfarer in china	elizabeth kendall
"encyclopaedia britannica, 11th ed., vol. 3, pt. 1, slice 3"	various
"encyclopaedia britannica, 11th ed., vol. 3, pt. 1, slice 2"	various
"encyclopaedia britannica, 11th ed., vol. 3, pt. 1, slice 1"	various
astronomical instruments and accessories	wm. gaertner & co
the sign of the spider	bertram mitford
that girl montana	marah ellis ryan
"queen berngerd, the bard and the dreams, translated by george borrow"	anonymous
"hafbur and signe, translated by george borrow"	anonymous
the story of a cat	emile gigault de la bedolliere
the wall between	sara ware bassett
jutelmia ja tarinoita	various
radio shack trs-80 expansion interface: operator's manual	anonymous
ibm 1401 programming systems	anonymous
"stories to read or tell from fairy tales and folklore,"	anonymous
el kab	j.e. quibell
birds in the calendar	frederick g. aflalo
a scientist rises	desmond winter hall
"the wonders of the jungle, book two"	prince sarath ghosh
the last evolution	john wood campbell
the orchard of tears	sax rohmer
il vanzeli di mateo	anonymous
ershi lu	yue jun
"prometheus bound, and seven against thebes"	aeschylus
the woman who dared	epes sargent
the mouse's wedding	unknown
the radio boys at the sending station	allen chapman
in her own right	john reed scott
colorado jim	george goodchild
a tour of the missions	augustus hopkins strong
"robert burns, vol. ii, les oeuvres"	auguste angellier
a history of english literature	george saintsbury
border ghost stories	howard pease
the indian today	charles a. eastman
mountain blood	joseph hergesheimer
der hahn von quakenbrück und andere novellen	ricarda huch
love of brothers	katharine tynan
starman's quest	robert silverberg
"a lucta civil brazileira e o sebastianismo portuguez,"	anonymous
belgium	emile cammaerts
the children's garland from the best poets	various
"punch, vol. , september , , ed. by sir owen seaman"	anonymous
sundry accounts	irvin s. cobb
'me-smith'	caroline lockhart
desert dust	edwin l. sabin
brand blotters	william macleod raine
the faith of our fathers	james cardinal gibbons
doctor jones' picnic	s. e. chapman
il quadriregio	federico frezzi
the fifth queen crowned	ford madox ford
the adventures of daniel boone: the kentucky rifleman	uncle philip
the critical period of american history	john fiske
ecclesiazusae	aristophanes
la francia dal primo impero al 1871	heinrich von treitschke
"mémoires du maréchal marmont, duc de raguse (1/9)"	anonymous
shenanigans at sugar creek	paul hutchens
major frank	a. l. g. bosboom-toussaint
cautionary tales for children	hilaire belloc
"elkan lubliner, american"	montague glass
through the malay archipelago	emily richings
"punch or the london charivari, october 10, 1920"	various
"barnavannen, 1905-05"	various
"barnavannen, 1905-04"	various
"barnavannen, 1905-03"	various
"barnavannen, 1905-02"	various
"barnavannen, 1905-01"	various
shazi bao	lingyan qiaozi jiaokan
haoqiu zhuan	mingjiaozhongren
a ilha da madeira	jose ramos coelho
lendas dos vegetaes	eduardo henrique vieira coelho de sequeira
the house with the mezzanine and other stories	anton tchekoff
"travels in france during the years -,"	anonymous
"the king's wake, translated by george borrow"	anonymous
"mollie charane, translated by george borrow"	anonymous
"the return of the dead, translated by george borrow"	anonymous
"axel thordson and fair valborg, translated by george borrow"	anonymous
"ulf van yern, translated by george borrow"	anonymous
where the strange trails go down	e. alexander powell
qingdai yeji	zhang zuyi
feng liu wu	zuohua sanren
poems & ballads (second series)	algernon charles swinburne
the martian	george du maurier
lin erh pao	anonymous
jilei bian	zhuang chuo
de wonderstraal	jules verne
"proud signild, translated by george borrow"	anonymous
the slave of silence	fred m. white
a new guide for emigrants to the west	j. m. peck
medal of honor	dallas mccord reynolds
lease to doomsday	lee archer
the mouse and the christmas cake	anonymous
apotheose camoneana	xavier de carvalho
ion	euripides
sociologia chinesa: autoplastia	daniel jerome macgowan
"biographia do padre jose agostinho de macedo,"	anonymous
"house of john procter, witchcraft martyr, 1692"	william p. upham
the conspirators	alexandre dumas (pere)
the regent's daughter	alexandre dumas (pere)
master of none	lloyd neil goble
the sequel	george a. taylor
"histoire du consulat et de l'empire, (vol. 2 / 20)"	adolphe thiers
"histoire du consulat et de l'empire, (vol. 1 / 20)"	adolphe thiers
"les contemporains, 5eme serie"	jules lemaitre
the story of the heavens	robert stawell ball
a little maid of massachusetts colony	alice turner curtis
matkustus argentinassa ja uruguayssa	arno ja ossi donner
if winter don't	barry pain
a young man in a hurry	robert w. chambers
flora lyndsay	susan moodie
"diplomatic correspondence of the american revolution,"	anonymous
vol. viii	various
"diplomatic correspondence of the american revolution,"	anonymous
vol. i	various
poems	mary baker eddy
spasimo	federico de roberto
the cult of incompetence	emile faguet
the art of stage dancing	ned wayburn
a journey in russia in 1858	robert heywood
tales of space and time	herbert george wells
a filha do arcediago	camilo castelo branco
burl	morrison heady
the chronicles of a gay gordon	joseph maria gordon
as concessoes de direitos magestaticos a emprezas mercantis	anonymous
para o ultramar	the sociedade de geografia de lisboa
"punch, september , , ed. by sir owen seaman"	anonymous
rassegnazione	luigi capuana
olocausto	alfredo oriani
the landing of the pilgrims	henry fisk carlton
chelsea	geraldine edith mitton
shoe-bar stratton	joseph bushnell ames
"archaeological essays, vol. 1"	james y. simpson
indian conjuring	l. h. branson
shapes that haunt the dusk	various
jeremiah	george adam smith
"noites de insomnia, offerecidas a quem não póde dormir."	anonymous
n°6 (de 12)	camilo ferreira botelho castelo branco
personal friendships of jesus	j. r. miller
the 2007 cia world factbook	united states
appearances	goldsworthy lowes dickinson
"grandmother puss, or, the grateful mouse"	unknown
"la russie en 1839, volume iv (of iv)"	astolphe de custine
